id,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,cm_enabled,legs,day_vision,night_vision,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_wins,pro_pick,pro_win,pro_ban,pub_pick,pub_win,gold_per_min,xp_per_min,kills_per_min,last_hits_per_min,hero_damage_per_min,hero_healing_per_min,tower_damage,carry,disabler,durable,escape,initiator,nuker,pusher,support,melee,ranged,agility,intelligent,strength
1,0.0,0.2727272727272727,0.625,0.0,0.42857142857142855,0.0,0.35416666666666663,0.326923076923077,0.7,0.7058823529411764,0.4,0.37209302325581395,0.7,0.34615384615384615,0.0,0.0,0.0,0.28571428571428603,0.27083333333333326,0.6363636363636358,0.590909090909091,0.0,0.25,1.0,0.0,0.4870270398820424,0.4814290929001642,0.5132254055259887,0.5171472021352534,0.5487859367819027,0.5614151867574289,0.5647633887872342,0.5828356758857439,0.5650895482491312,0.5882065562558014,0.5325691086034987,0.5505787619526925,0.48473948875541273,0.5039718804920914,0.43831657905253774,0.45240304323622194,0.282909338560046,0.29617649630047604,0.16390041493775934,0.13152400835073066,0.5129274395329441,0.533619103298894,0.544352498300194,0.9243243243243244,1.0,0.7691456661904199,1.0000000000000002,0.557696099120559,0.0,0.6481876332622601,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2,0.0,0.8181818181818182,0.625,0.0,0.2857142857142857,0.0,0.39583333333333326,0.3653846153846154,0.8333333333333334,0.5882352941176471,0.6,0.6511627906976744,0.425,0.3076923076923077,0.0,0.3,0.5,0.28571428571428603,0.47916666666666674,0.7272727272727266,0.590909090909091,0.0,0.25,1.0,0.0,0.5905729030416895,0.6066800511042161,0.5906657318588865,0.6031470159212936,0.6043698616146658,0.6137750872874331,0.6073721575295966,0.6236155191398407,0.5817031582869594,0.5980751380135815,0.5346349035763329,0.5476070649699236,0.4551264143036737,0.46372583479789103,0.3384672138707,0.34341559967835716,0.30922464797724997,0.3192041453742043,0.2894190871369295,0.2609603340292276,0.20517097581317764,0.5708346911000786,0.5832691710869519,0.5567567567567568,0.5635103926096998,0.8155897613047648,0.5246987057816659,0.7519371929567764,0.0,0.07914210460303525,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.625,0.0,0.42857142857142855,0.0,0.25,0.2692307692307693,0.7666666666666666,0.6764705882352942,0.7666666666666666,0.627906976744186,0.675,0.5192307692307693,0.47619047619047616,0.3,0.5,0.28571428571428603,0.27083333333333326,0.545454545454545,0.590909090909091,0.0,0.5,1.0,0.3999999999999999,0.06685057908630407,0.062328892133601016,0.06011982536091016,0.05491760032277086,0.05980952867282848,0.05886564014970737,0.06112644911840582,0.06260768184467906,0.06088956930977782,0.06425977494422459,0.06280971998328258,0.06815730821770077,0.06376588909065513,0.06903339191564148,0.06483445540901965,0.07156553473124266,0.039054408214641144,0.03895427849348709,0.05186721991701245,0.07515657620041753,0.03586321934945788,0.06281508175353179,0.0625125856714056,0.11081081081081079,0.22401847575057743,0.2944944952263835,0.0692117532730922,0.3425926037144913,0.0,0.03311175216355199,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
4,0.0,0.0,0.625,0.0,0.5714285714285714,0.0,0.47916666666666663,0.48076923076923084,0.8,0.7058823529411764,0.5666666666666667,0.627906976744186,0.775,0.3846153846153846,0.0,0.3,0.5,0.28571428571428603,0.5416666666666666,0.18181818181818166,0.590909090909091,0.0,0.25,1.0,0.0,0.2529905586339746,0.25529293666727504,0.1655964179865515,0.16812017007541663,0.1259446969310116,0.12854487453216448,0.110330201793577,0.11480018135889629,0.09238333616842037,0.0967153581839204,0.07624335781240671,0.08057133271023557,0.059627741304651496,0.06355008787346221,0.03855021672968736,0.04057648295911426,0.0995230692208374,0.10183029079609304,0.029045643153526972,0.033402922755741124,0.05087572977481234,0.12958126473576262,0.1326227710035607,0.6945945945945946,0.7575057736720554,0.7717641874106754,0.6921026722929071,0.7328329507085812,0.0,0.294493916969773,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
5,0.0,0.0,0.625,0.0,0.2857142857142857,0.0,0.375,0.3846153846153846,0.5666666666666667,0.47058823529411764,0.6,0.5116279069767442,0.45,0.6346153846153845,0.8571428571428571,0.3,0.5,0.28571428571428603,0.5833333333333334,0.09090909090909083,0.590909090909091,0.0,0.25,1.0,0.0,0.500392399343623,0.5073462310640627,0.42443194493132347,0.42134011979764746,0.3969769698207629,0.38648865891336565,0.38487550351409194,0.38166979726666234,0.36686836285873975,0.3614571628641685,0.3447608812466416,0.3416013612289405,0.3061356334683615,0.3038664323374341,0.2729871806695564,0.27457165831632335,0.26432059153199566,0.26594848482440175,0.23236514522821575,0.2254697286012526,0.03586321934945788,0.38659213325921526,0.3826044107299808,0.16756756756756752,0.24480369515011557,0.24891192508491997,0.13130524065037746,0.3552400905231424,0.0,0.030227016179606173,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,0.0,0.0,0.625,0.0,0.2857142857142857,0.0,0.35416666666666663,0.3846153846153846,0.5333333333333333,0.6470588235294118,0.5,0.441860465116279,0.725,0.26923076923076916,0.9047619047619048,0.41666666666666663,0.5,0.28571428571428603,0.6875,0.6363636363636358,0.33333333333333326,0.0,0.25,1.0,0.0,0.5873385811791006,0.5552108048914035,0.470720864272284,0.4604140157040439,0.4656526068528826,0.4671698776720002,0.4697051007674751,0.4804585789235054,0.4527715000850526,0.4667871741006725,0.4222938682906442,0.43647997699331376,0.3627252409554407,0.3689279437609842,0.2645639275723201,0.2671491309457537,0.4321949558438715,0.45545073791793494,0.18153526970954356,0.17954070981210854,0.16847372810675562,0.4630371964193295,0.4636359975077409,0.7540540540540541,0.676674364896074,0.7156728255133007,0.8081028353022235,0.697068271727454,0.0,0.707638279192274,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
7,0.0,0.2727272727272727,0.625,0.0,0.5714285714285714,0.0,0.3125,0.40384615384615385,0.7333333333333333,0.3529411764705882,0.6,0.8604651162790697,0.35,0.40384615384615385,0.0,0.0,0.5,0.28571428571428603,0.61875,0.7272727272727266,1.0000000000000002,0.0,0.25,1.0,0.0,0.5909296297177103,0.5553020624201497,0.5436757066828133,0.5186834673039322,0.5779694122453148,0.5663635678581297,0.636260773423508,0.6436297687674072,0.6894202652021416,0.7085837119546631,0.7108603498716342,0.7426845927097564,0.6989803045118034,0.7377152899824253,0.673798764179655,0.7156553473124266,0.43593459582498073,0.4170567525252927,0.33713692946058094,0.32567849686847594,0.2385321100917431,0.6332592152427687,0.6328158500095947,0.4891891891891891,0.6789838337182448,0.5613353293691011,0.47913649302062117,0.6670482847522959,0.0,0.11250470337388688,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
8,0.0,0.09090909090909091,0.625,0.0,0.2857142857142857,0.0,0.20833333333333331,0.15384615384615385,0.6666666666666666,1.0,0.4666666666666667,0.46511627906976744,0.7,0.26923076923076916,0.0,0.0,0.0,0.5714285714285716,0.33333333333333337,0.45454545454545414,0.590909090909091,0.0,0.25,1.0,0.0,0.6439867773312089,0.6449625844132141,0.6070461136428821,0.6252133701623165,0.6422471020783332,0.6735198814398031,0.6543258568629859,0.7057970075782111,0.6328319279401877,0.6878368915595942,0.5784345334049794,0.6242480887674647,0.49600153652744794,0.5251669595782074,0.34981093793230655,0.36964186305437,0.45134718250051176,0.4787247570076375,0.1991701244813278,0.2066805845511482,0.12427022518765637,0.6144585385957178,0.647473270995269,0.8837837837837839,0.8637413394919169,0.8463633261803589,0.9282494921199413,0.7560880066875868,0.3033463666324948,0.7225636523266024,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,0.0,0.0,0.625,0.4,0.0,0.0,0.20833333333333331,0.23076923076923084,0.6666666666666666,0.7647058823529411,0.7333333333333333,0.5116279069767442,0.775,0.3653846153846153,0.9142857142857143,0.3,0.5,0.28571428571428603,0.3749999999999999,0.18181818181818166,0.590909090909091,0.0,0.25,1.0,0.0,0.1882565578253942,0.18780799415951815,0.1943656585614583,0.19316594767387726,0.2025545115661543,0.20207982718344178,0.20540788682490316,0.21046699915797656,0.19596931625800912,0.20421124627485462,0.17893605588393338,0.18529968605459296,0.15738930018158961,0.16857644991212653,0.12232162070767623,0.1266159460629678,0.12903278113681002,0.1377287863495116,0.05705394190871369,0.06680584551148225,0.01501251042535446,0.19206209626406487,0.1947089245144004,0.27297297297297285,0.3256351039260972,0.3820144900890242,0.27261938590608276,0.36964158095449184,0.0,0.09218612818261634,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
10,0.0,0.09090909090909091,0.625,0.5,0.0,0.0,0.0,0.09615384615384615,0.7666666666666666,0.7058823529411764,0.6333333333333333,0.7441860465116279,0.975,0.34615384615384615,0.38095238095238093,0.4333333333333333,0.16666666666666696,0.28571428571428603,0.6875,0.18181818181818166,0.33333333333333326,0.0,0.0,1.0,0.0,0.2644295940450427,0.2569812009490783,0.2824261448739603,0.2750225008534806,0.3203352397487617,0.31799000276305545,0.3761274512973368,0.38389792084979596,0.42365920633763454,0.4341361734004266,0.4775688100782136,0.4930141155606682,0.5153478139404944,0.542390158172232,0.6195394878416182,0.6614090431125133,0.21181766772133298,0.20592559625517573,0.30290456431535273,0.33402922755741127,0.5354462051709757,0.3727369223101842,0.37572937667463463,0.8702702702702703,0.8152424942263281,0.7009240812159037,0.9529887738357057,0.626013859137597,0.05354328435298865,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
